united_code,lake,date,year,month,jd,time,depth,light_percent,light_situ,log_e_light,flag
114_1997-09-02,114,1997-09-02,1997,9,245,7:25:00,1.5,18.93,14.2,2.653241965,no
114_1997-09-02,114,1997-09-02,1997,9,245,7:25:00,2,15.19,11.4,2.433613355,no
114_1997-09-02,114,1997-09-02,1997,9,245,7:25:00,2.5,11.99,9,2.197224577,no
114_1997-09-02,114,1997-09-02,1997,9,245,7:25:00,3,9.33,7,1.945910149,no
114_1997-09-02,114,1997-09-02,1997,9,245,7:25:00,3.5,7.33,5.5,1.704748092,no
114_1997-09-02,114,1997-09-02,1997,9,245,7:25:00,4,5.73,4.3,1.458615023,no
114_1997-09-16,114,1997-09-16,1997,9,259,9:10:00,0,100,41.6,3.728100167,yes
114_1997-09-16,114,1997-09-16,1997,9,259,9:10:00,0.5,60.33,25.1,3.222867846,yes
114_1997-09-16,114,1997-09-16,1997,9,259,9:10:00,1,37.01,15.4,2.734367509,no
114_1997-09-16,114,1997-09-16,1997,9,259,9:10:00,2,20.91,8.7,2.163323026,no
114_1997-09-16,114,1997-09-16,1997,9,259,9:10:00,3,15.14,6.3,1.840549633,no
114_1997-09-16,114,1997-09-16,1997,9,259,9:10:00,4,10.09,4.2,1.435084525,no
114_1997-10-14,114,1997-10-14,1997,10,287,9:40:00,0,100,191,5.252273428,yes
114_1997-10-14,114,1997-10-14,1997,10,287,9:40:00,0.5,28.63,54.7,4.001863709,no
114_1997-10-14,114,1997-10-14,1997,10,287,9:40:00,1,19.47,37.2,3.616308761,no
114_1997-10-14,114,1997-10-14,1997,10,287,9:40:00,2,12.87,24.6,3.202746443,no
114_1997-10-14,114,1997-10-14,1997,10,287,9:40:00,3,8.8,16.8,2.821378886,no
114_1997-10-14,114,1997-10-14,1997,10,287,9:40:00,4,5.18,9.9,2.292534757,no
114_1997-10-14,114,1997-10-14,1997,10,287,9:40:00,5,1.31,2.5,0.916290732,yes
114_1998-05-11,114,1998-05-11,1998,5,131,8:00:00,0,100,143,4.96284463,no
114_1998-05-11,114,1998-05-11,1998,5,131,8:10:00,0,100,143,4.96284463,yes
114_1998-05-11,114,1998-05-11,1998,5,131,8:10:00,0.5,46.36,66.3,4.194189897,no
114_1998-05-11,114,1998-05-11,1998,5,131,8:00:00,0.5,46.36,66.3,4.194189897,no
