SampleNumber,Site,ParamAnalysisDateTime,Param,Result,Results_Units,Instrument,Results_Commnt
2020060205-04,378 LA CB,,PAR - 8m,,,,
2020060205-04,378 LA CB,,PAR - 9m,,,,
2020060205-04,378 LA CB,06/02/2020 00:00,PAR - 0.5m,900.6,,PAR 2045,
2020060205-04,378 LA CB,06/02/2020 00:00,PAR - 1m,371.2,,PAR 2045,
2020060205-04,378 LA CB,06/02/2020 00:00,PAR - 2m,174.4,,PAR 2045,
2020060205-04,378 LA CB,06/02/2020 00:00,PAR - 3m,88.7,,PAR 2045,
2020060205-04,378 LA CB,06/02/2020 00:00,PAR - 4m,36.7,,PAR 2045,
2020060205-04,378 LA CB,06/02/2020 00:00,PAR - 5m,17.26,,PAR 2045,
2020060205-04,378 LA CB,06/02/2020 00:00,PAR - 6m,7.85,,PAR 2045,
2020060205-04,378 LA CB,06/02/2020 00:00,PAR - Air 1,1185,,PAR 2045,
2020060205-04,378 LA CB,06/02/2020 00:00,PAR - Air 2,1227,,PAR 2045,
2020060206-04,224 LA CB,,PAR - 14m,,µmol/m2/s,,
2020060206-04,224 LA CB,,PAR - 15m,,µmol/m2/s,,
2020060206-04,224 LA CB,,PAR - 16m,,µmol/m2/s,,
2020060206-04,224 LA CB,,PAR - 17m,,µmol/m2/s,,
2020060206-04,224 LA CB,,PAR - 18m,,µmol/m2/s,,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 0.5m,647,µmol/m2/s,PAR 7280,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 10m,31.7,µmol/m2/s,PAR 7280,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 11m,18.3,µmol/m2/s,PAR 7280,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 12m,13.6,µmol/m2/s,PAR 7280,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 13m,8.9,µmol/m2/s,PAR 7280,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 1m,447,µmol/m2/s,PAR 7280,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 2m,282,µmol/m2/s,PAR 7280,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 3m,200,µmol/m2/s,PAR 7280,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 4m,152,µmol/m2/s,PAR 7280,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 5m,115,µmol/m2/s,PAR 7280,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 6m,94,µmol/m2/s,PAR 7280,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 7m,78,µmol/m2/s,PAR 7280,
2020060206-04,224 LA CB,06/02/2020 00:00,PAR - 8m,60.5,µmol/m2/s,PAR 7280,
